,Formula,Num_Runs,Run_Names,Avg_Score
389,C12H21N5O3,5,"bigmed, large, large, med, tiny",75.048
5580,C33H57NO6,5,"bigmed, large, large, med, tiny",78.756
14229,C71H102O6,5,"bigmed, large, large, large, med",73.20599999999999
397,C12H21NO5,5,"bigmed, large, large, med, tiny",62.532
2004,C20H36O3,5,"bigmed, large, large, med, tiny",61.548
7286,C39H78NO9P,5,"bigmed, large, large, med, tiny",63.972
10114,C49H93NO9,5,"bigmed, large, large, large, tiny",56.098
3637,C26H48O3,5,"bigmed, large, large, med, tiny",64.17999999999999
3638,C26H48O4,5,"bigmed, large, large, large, large",64.33
3678,C26H52NO9P,5,"bigmed, large, large, med, tiny",79.964
1986,C20H34O8,5,"bigmed, large, large, med, tiny",83.944
10014,C49H84O15,5,"bigmed, large, large, med, tiny",54.839999999999996
3682,C26H53N2O7P,5,"bigmed, large, large, med, tiny",90.688
9994,C49H83NO13,5,"bigmed, large, large, med, tiny",65.398
911,C15H26O3,5,"bigmed, large, large, med, tiny",69.922
9960,C49H79O8P,5,"bigmed, large, large, large, med",72.714
9262,C46H86NO13P,5,"bigmed, large, large, med, tiny",74.524
4249,C28H52O5,5,"bigmed, large, large, med, tiny",65.426
8235,C43H73NO8,5,"bigmed, large, large, med, tiny",73.172
8536,C44H75NO6,5,"bigmed, large, large, med, tiny",65.84200000000001
1126,C16H30O3,5,"bigmed, large, large, med, tiny",68.56800000000001
7761,C41H75O15P,5,"large, large, large, large, tiny",59.326
1160,C16H33NO,5,"bigmed, large, large, med, tiny",83.936
1557,C18H37NO,5,"bigmed, large, large, med, tiny",84.272
7801,C41H78O5,5,"bigmed, large, large, med, tiny",67.84400000000001
1761,C19H37NO3,5,"bigmed, large, large, med, tiny",70.166
1156,C16H32O2,5,"bigmed, large, large, med, tiny",94.036
8361,C43H82NO7P,5,"bigmed, large, large, med, tiny",60.589999999999996
8304,C43H77O7P,5,"bigmed, large, large, med, tiny",65.84
580,C13H26,5,"bigmed, large, large, med, tiny",91.806
1127,C16H30O4,5,"bigmed, large, large, med, tiny",70.292
4841,C30H57NO5,5,"bigmed, large, large, med, tiny",74.406
4595,C29H61N2O6P,5,"bigmed, large, large, med, tiny",64.244
7843,C41H81NO5,5,"bigmed, large, large, med, tiny",57.02
4714,C30H49NO6,5,"bigmed, large, large, med, tiny",68.19
8137,C43H56O6,5,"bigmed, large, large, med, tiny",64.486
5993,C35H50N2O5,5,"bigmed, large, large, med, tiny",52.666
939,C15H29N3O4,5,"bigmed, large, large, large, tiny",64.47200000000001
4832,C30H56O5,5,"bigmed, large, large, med, tiny",57.794000000000004
