Formula,Runs,Avg_Mass,Avg_RT,Avg_Score,Occurrence_Count,Run_Names,Num_Runs
C55H110O2,"['bigmed', 'large', 'med', 'tiny']",802.851275,13.612,61.537499999999994,4,"bigmed, large, med, tiny",4
C5H11NO2,"['bigmed', 'large', 'med', 'tiny']",117.0789,6.764,96.81,4,"bigmed, large, med, tiny",4
C62H112NO10P,"['bigmed', 'large', 'med', 'tiny']",1061.802725,16.95675,79.945,4,"bigmed, large, med, tiny",4
C62H111NO10,"['bigmed', 'large', 'med', 'tiny']",1029.816675,20.3735,60.707499999999996,4,"bigmed, large, med, tiny",4
C62H109O10P,"['bigmed', 'large', 'med', 'tiny']",1044.77515,17.9765,78.9875,4,"bigmed, large, med, tiny",4
C62H108O15,"['bigmed', 'large', 'med', 'tiny']",1092.770675,18.548000000000002,60.4675,4,"bigmed, large, med, tiny",4
C62H102O6,"['bigmed', 'large', 'large', 'med']",942.76695,15.124500000000001,55.48,4,"bigmed, large, large, med",4
C61H123NO4,"['bigmed', 'large', 'med', 'tiny']",933.94935,14.02125,56.2425,4,"bigmed, large, med, tiny",4
C61H115O10P,"['bigmed', 'large', 'med', 'tiny']",1038.817675,17.97,71.805,4,"bigmed, large, med, tiny",4
C61H112O13S,"['bigmed', 'large', 'med', 'tiny']",1084.7854,17.9635,61.707499999999996,4,"bigmed, large, med, tiny",4
C61H110O15,"['bigmed', 'large', 'med', 'tiny']",1082.7827,17.9635,88.6675,4,"bigmed, large, med, tiny",4
C60H114NO10P,"['bigmed', 'large', 'med', 'tiny']",1039.819675,17.9765,79.2125,4,"bigmed, large, med, tiny",4
C60H109O13P,"['bigmed', 'large', 'med', 'tiny']",1068.75985,17.9635,65.6775,4,"bigmed, large, med, tiny",4
C60H108NO11P,"['bigmed', 'large', 'med', 'tiny']",1049.764225,19.88,57.66,4,"bigmed, large, med, tiny",4
C60H108NO10P,"['bigmed', 'large', 'med', 'tiny']",1033.766575,20.367,64.64500000000001,4,"bigmed, large, med, tiny",4
C60H107NO12S,"['bigmed', 'large', 'med', 'tiny']",1065.75545,17.19075,84.2825,4,"bigmed, large, med, tiny",4
C60H106O15,"['bigmed', 'large', 'med', 'tiny']",1066.7555499999999,15.599250000000001,75.35,4,"bigmed, large, med, tiny",4
C60H106O14,"['bigmed', 'large', 'med', 'tiny']",1050.7652,18.43775,60.667500000000004,4,"bigmed, large, med, tiny",4
