refmet_name,formula
DLCL 42:2,C51H98O15P2
DLCL 42:3,C51H96O15P2
DLCL 42:4,C51H94O15P2
DLCL 42:5,C51H92O15P2
DLCL 42:6,C51H90O15P2
DLCL 42:7,C51H88O15P2
DLCL 42:8,C51H86O15P2
DLCL 42:9,C51H84O15P2
DLCL 43:0,C52H104O15P2
DLCL 43:1,C52H102O15P2
DLCL 43:10,C52H84O15P2
DLCL 43:11,C52H82O15P2
DLCL 43:12,C52H80O15P2
DLCL 43:2,C52H100O15P2
DLCL 43:3,C52H98O15P2
DLCL 43:4,C52H96O15P2
DLCL 43:5,C52H94O15P2
DLCL 43:6,C52H92O15P2
DLCL 43:7,C52H90O15P2
DLCL 43:8,C52H88O15P2
DLCL 43:9,C52H86O15P2
DLCL 44:0,C53H106O15P2
DLCL 44:1,C53H104O15P2
DLCL 44:10,C53H86O15P2
DLCL 44:11,C53H84O15P2
DLCL 44:12,C53H82O15P2
DLCL 44:2,C53H102O15P2
DLCL 44:3,C53H100O15P2
DLCL 44:4,C53H98O15P2
DLCL 44:5,C53H96O15P2
DLCL 44:6,C53H94O15P2
DLCL 44:7,C53H92O15P2
DLCL 44:8,C53H90O15P2
DLCL 44:9,C53H88O15P2
MLCL 16:0_16:0_16:0,C57H112O16P2
MLCL 16:0_16:0_16:1,C57H110O16P2
MLCL 16:0_16:0_16:2,C57H108O16P2
MLCL 16:0_16:0_16:3,C57H106O16P2
MLCL 16:0_16:0_18:0,C59H116O16P2
MLCL 16:0_16:0_18:1,C59H114O16P2
MLCL 16:0_16:0_18:2,C59H112O16P2
MLCL 16:0_16:0_18:3,C59H110O16P2
MLCL 16:0_16:0_20:0,C61H120O16P2
MLCL 16:0_16:0_20:1,C61H118O16P2
MLCL 16:0_16:0_20:2,C61H116O16P2
MLCL 16:0_16:0_20:3,C61H114O16P2
MLCL 16:0_16:0_20:4,C61H112O16P2
MLCL 16:0_16:1_16:3,C57H104O16P2
MLCL 16:0_16:1_18:3,C59H108O16P2
MLCL 16:0_16:1_20:4,C61H110O16P2
MLCL 16:0_16:2_16:3,C57H102O16P2
MLCL 16:0_16:2_18:3,C59H106O16P2
MLCL 16:0_16:2_20:4,C61H108O16P2
MLCL 16:0_16:3_16:3,C57H100O16P2
MLCL 16:0_16:3_18:3,C59H104O16P2
MLCL 16:0_16:3_20:4,C61H106O16P2
MLCL 16:0_18:0_20:0,C63H124O16P2
MLCL 16:0_18:0_20:1,C63H122O16P2
MLCL 16:0_18:0_20:2,C63H120O16P2
MLCL 16:0_18:0_20:3,C63H118O16P2
MLCL 16:0_18:0_20:4,C63H116O16P2
MLCL 16:0_18:1_20:4,C63H114O16P2
MLCL 16:0_18:2_20:4,C63H112O16P2
MLCL 16:0_18:3_20:4,C63H110O16P2
MLCL 16:0_20:0_20:0,C65H128O16P2
MLCL 16:0_20:0_20:1,C65H126O16P2
MLCL 16:0_20:0_20:2,C65H124O16P2
MLCL 16:0_20:0_20:3,C65H122O16P2
MLCL 16:0_20:0_20:4,C65H120O16P2
MLCL 16:0_20:1_20:4,C65H118O16P2
MLCL 16:0_20:2_20:4,C65H116O16P2
MLCL 16:0_20:3_20:4,C65H114O16P2
MLCL 16:0_20:4_20:4,C65H112O16P2
MLCL 16:1_16:3_16:3,C57H98O16P2
MLCL 16:1_16:3_18:3,C59H102O16P2
MLCL 16:1_16:3_20:4,C61H104O16P2
MLCL 16:1_18:3_20:4,C63H108O16P2
MLCL 16:1_20:4_20:4,C65H110O16P2
MLCL 16:2_16:3_16:3,C57H96O16P2
MLCL 16:2_16:3_18:3,C59H100O16P2
MLCL 16:2_16:3_20:4,C61H102O16P2
MLCL 16:2_18:3_20:4,C63H106O16P2
MLCL 16:2_20:4_20:4,C65H108O16P2
MLCL 16:3_16:3_16:3,C57H94O16P2
MLCL 16:3_16:3_18:3,C59H98O16P2
MLCL 16:3_16:3_20:4,C61H100O16P2
MLCL 16:3_18:3_20:4,C63H104O16P2
MLCL 16:3_20:4_20:4,C65H106O16P2
MLCL 18:0_20:0_20:0,C67H132O16P2
MLCL 18:0_20:0_20:1,C67H130O16P2
MLCL 18:0_20:0_20:2,C67H128O16P2
MLCL 18:0_20:0_20:3,C67H126O16P2
MLCL 18:0_20:0_20:4,C67H124O16P2
MLCL 18:0_20:1_20:4,C67H122O16P2
MLCL 18:0_20:2_20:4,C67H120O16P2
MLCL 18:0_20:3_20:4,C67H118O16P2
MLCL 18:0_20:4_20:4,C67H116O16P2
MLCL 18:1_20:4_20:4,C67H114O16P2
MLCL 18:2_20:4_20:4,C67H112O16P2
MLCL 18:3_20:4_20:4,C67H110O16P2
MLCL 20:0_20:0_20:0,C69H136O16P2
MLCL 20:0_20:0_20:1,C69H134O16P2
MLCL 20:0_20:0_20:2,C69H132O16P2
MLCL 20:0_20:0_20:3,C69H130O16P2
MLCL 20:0_20:0_20:4,C69H128O16P2
MLCL 20:0_20:1_20:4,C69H126O16P2
MLCL 20:0_20:2_20:4,C69H124O16P2
MLCL 20:0_20:3_20:4,C69H122O16P2
MLCL 20:0_20:4_20:4,C69H120O16P2
MLCL 20:1_20:4_20:4,C69H118O16P2
MLCL 20:2_20:4_20:4,C69H116O16P2
MLCL 20:3_20:4_20:4,C69H114O16P2
MLCL 20:4_20:4_20:4,C69H112O16P2
MLCL 44:4,C53H96O16P2
MLCL 45:0,C54H106O16P2
MLCL 45:1,C54H104O16P2
MLCL 45:10,C54H86O16P2
MLCL 45:11,C54H84O16P2
MLCL 45:12,C54H82O16P2
MLCL 45:2,C54H102O16P2
MLCL 45:3,C54H100O16P2
MLCL 45:4,C54H98O16P2
MLCL 45:5,C54H96O16P2
MLCL 45:6,C54H94O16P2
MLCL 45:7,C54H92O16P2
MLCL 45:8,C54H90O16P2
MLCL 45:9,C54H88O16P2
MLCL 46:0,C55H108O16P2
MLCL 46:1,C55H106O16P2
MLCL 46:10,C55H88O16P2
MLCL 46:11,C55H86O16P2
MLCL 46:12,C55H84O16P2
MLCL 46:13,C55H82O16P2
MLCL 46:2,C55H104O16P2
MLCL 46:3,C55H102O16P2
MLCL 46:4,C55H100O16P2
MLCL 46:5,C55H98O16P2
MLCL 46:6,C55H96O16P2
MLCL 46:7,C55H94O16P2
MLCL 46:8,C55H92O16P2
MLCL 46:9,C55H90O16P2
MLCL 47:0,C56H110O16P2
MLCL 47:1,C56H108O16P2
MLCL 47:10,C56H90O16P2
MLCL 47:11,C56H88O16P2
MLCL 47:12,C56H86O16P2
MLCL 47:13,C56H84O16P2
MLCL 47:2,C56H106O16P2
MLCL 47:3,C56H104O16P2
MLCL 47:4,C56H102O16P2
MLCL 47:5,C56H100O16P2
MLCL 47:6,C56H98O16P2
MLCL 47:7,C56H96O16P2
MLCL 47:8,C56H94O16P2
MLCL 47:9,C56H92O16P2
MLCL 48:10,C57H92O16P2
MLCL 48:11,C57H90O16P2
MLCL 48:12,C57H88O16P2
MLCL 48:13,C57H86O16P2
MLCL 49:0,C58H114O16P2
MLCL 49:1,C58H112O16P2
MLCL 49:10,C58H94O16P2
MLCL 49:11,C58H92O16P2
MLCL 49:12,C58H90O16P2
MLCL 49:13,C58H88O16P2
MLCL 49:14,C58H86O16P2
MLCL 49:2,C58H110O16P2
MLCL 49:3,C58H108O16P2
MLCL 49:4,C58H106O16P2
MLCL 49:5,C58H104O16P2
MLCL 49:6,C58H102O16P2
MLCL 49:7,C58H100O16P2
MLCL 49:8,C58H98O16P2
MLCL 49:9,C58H96O16P2
MLCL 50:10,C59H96O16P2
MLCL 50:11,C59H94O16P2
MLCL 50:12,C59H92O16P2
MLCL 50:13,C59H90O16P2
MLCL 50:14,C59H88O16P2
MLCL 51:0,C60H118O16P2
MLCL 51:1,C60H116O16P2
MLCL 51:10,C60H98O16P2
MLCL 51:11,C60H96O16P2
MLCL 51:12,C60H94O16P2
MLCL 51:13,C60H92O16P2
MLCL 51:14,C60H90O16P2
MLCL 51:2,C60H114O16P2
MLCL 51:3,C60H112O16P2
MLCL 51:4,C60H110O16P2
MLCL 51:5,C60H108O16P2
MLCL 51:6,C60H106O16P2
MLCL 51:7,C60H104O16P2
MLCL 51:8,C60H102O16P2
MLCL 51:9,C60H100O16P2
MLCL 52:11,C61H98O16P2
MLCL 52:12,C61H96O16P2
MLCL 52:13,C61H94O16P2
MLCL 52:14,C61H92O16P2
MLCL 53:0,C62H122O16P2
MLCL 53:1,C62H120O16P2
MLCL 53:10,C62H102O16P2
MLCL 53:11,C62H100O16P2
MLCL 53:12,C62H98O16P2
MLCL 53:13,C62H96O16P2
MLCL 53:14,C62H94O16P2
MLCL 53:15,C62H92O16P2
MLCL 53:2,C62H118O16P2
MLCL 53:3,C62H116O16P2
MLCL 53:4,C62H114O16P2
MLCL 53:5,C62H112O16P2
MLCL 53:6,C62H110O16P2
MLCL 53:7,C62H108O16P2
MLCL 53:8,C62H106O16P2
MLCL 53:9,C62H104O16P2
MLCL 54:11,C63H102O16P2
MLCL 54:12,C63H100O16P2
MLCL 54:13,C63H98O16P2
MLCL 54:14,C63H96O16P2
MLCL 54:15,C63H94O16P2
MLCL 55:0,C64H126O16P2
MLCL 55:1,C64H124O16P2
MLCL 55:10,C64H106O16P2
MLCL 55:11,C64H104O16P2
MLCL 55:12,C64H102O16P2
MLCL 55:13,C64H100O16P2
MLCL 55:14,C64H98O16P2
MLCL 55:15,C64H96O16P2
MLCL 55:2,C64H122O16P2
MLCL 55:3,C64H120O16P2
MLCL 55:4,C64H118O16P2
MLCL 55:5,C64H116O16P2
MLCL 55:6,C64H114O16P2
MLCL 55:7,C64H112O16P2
MLCL 55:8,C64H110O16P2
MLCL 55:9,C64H108O16P2
MLCL 56:12,C65H104O16P2
MLCL 56:13,C65H102O16P2
MLCL 56:14,C65H100O16P2
MLCL 56:15,C65H98O16P2
MLCL 56:16,C65H96O16P2
MLCL 57:0,C66H130O16P2
MLCL 57:1,C66H128O16P2
MLCL 57:10,C66H110O16P2
MLCL 57:11,C66H108O16P2
MLCL 57:12,C66H106O16P2
MLCL 57:13,C66H104O16P2
MLCL 57:14,C66H102O16P2
MLCL 57:15,C66H100O16P2
MLCL 57:16,C66H98O16P2
MLCL 57:2,C66H126O16P2
MLCL 57:3,C66H124O16P2
MLCL 57:4,C66H122O16P2
MLCL 57:5,C66H120O16P2
MLCL 57:6,C66H118O16P2
MLCL 57:7,C66H116O16P2
MLCL 57:8,C66H114O16P2
MLCL 57:9,C66H112O16P2
MLCL 58:12,C67H108O16P2
MLCL 58:13,C67H106O16P2
MLCL 58:14,C67H104O16P2
MLCL 58:15,C67H102O16P2
MLCL 58:16,C67H100O16P2
MLCL 59:0,C68H134O16P2
MLCL 59:1,C68H132O16P2
MLCL 59:10,C68H114O16P2
MLCL 59:11,C68H112O16P2
MLCL 59:12,C68H110O16P2
MLCL 59:13,C68H108O16P2
MLCL 59:14,C68H106O16P2
MLCL 59:15,C68H104O16P2
MLCL 59:16,C68H102O16P2
MLCL 59:2,C68H130O16P2
MLCL 59:3,C68H128O16P2
MLCL 59:4,C68H126O16P2
MLCL 59:5,C68H124O16P2
MLCL 59:6,C68H122O16P2
MLCL 59:7,C68H120O16P2
MLCL 59:8,C68H118O16P2
MLCL 59:9,C68H116O16P2
MLCL 60:13,C69H110O16P2
MLCL 60:14,C69H108O16P2
MLCL 60:15,C69H106O16P2
MLCL 60:16,C69H104O16P2
MLCL 60:17,C69H102O16P2
MLCL 61:0,C70H138O16P2
MLCL 61:1,C70H136O16P2
MLCL 61:10,C70H118O16P2
MLCL 61:11,C70H116O16P2
MLCL 61:12,C70H114O16P2
MLCL 61:13,C70H112O16P2
MLCL 61:14,C70H110O16P2
MLCL 61:15,C70H108O16P2
MLCL 61:16,C70H106O16P2
MLCL 61:17,C70H104O16P2
MLCL 61:2,C70H134O16P2
MLCL 61:3,C70H132O16P2
MLCL 61:4,C70H130O16P2
MLCL 61:5,C70H128O16P2
MLCL 61:6,C70H126O16P2
MLCL 61:7,C70H124O16P2
MLCL 61:8,C70H122O16P2
MLCL 61:9,C70H120O16P2
MLCL 62:0,C71H140O16P2
MLCL 62:1,C71H138O16P2
MLCL 62:10,C71H120O16P2
MLCL 62:11,C71H118O16P2
MLCL 62:12,C71H116O16P2
MLCL 62:13,C71H114O16P2
MLCL 62:14,C71H112O16P2
MLCL 62:15,C71H110O16P2
MLCL 62:16,C71H108O16P2
MLCL 62:17,C71H106O16P2
MLCL 62:2,C71H136O16P2
MLCL 62:3,C71H134O16P2
MLCL 62:4,C71H132O16P2
MLCL 62:5,C71H130O16P2
MLCL 62:6,C71H128O16P2
MLCL 62:7,C71H126O16P2
MLCL 62:8,C71H124O16P2
MLCL 62:9,C71H122O16P2
MLCL 63:0,C72H142O16P2
MLCL 63:1,C72H140O16P2
MLCL 63:10,C72H122O16P2
MLCL 63:11,C72H120O16P2
MLCL 63:12,C72H118O16P2
MLCL 63:13,C72H116O16P2
MLCL 63:14,C72H114O16P2
MLCL 63:15,C72H112O16P2
MLCL 63:16,C72H110O16P2
MLCL 63:17,C72H108O16P2
MLCL 63:18,C72H106O16P2
MLCL 63:2,C72H138O16P2
MLCL 63:3,C72H136O16P2
MLCL 63:4,C72H134O16P2
MLCL 63:5,C72H132O16P2
MLCL 63:6,C72H130O16P2
MLCL 63:7,C72H128O16P2
MLCL 63:8,C72H126O16P2
MLCL 63:9,C72H124O16P2
MLCL 64:0,C73H144O16P2
MLCL 64:1,C73H142O16P2
MLCL 64:10,C73H124O16P2
MLCL 64:11,C73H122O16P2
MLCL 64:12,C73H120O16P2
MLCL 64:13,C73H118O16P2
MLCL 64:14,C73H116O16P2
MLCL 64:15,C73H114O16P2
MLCL 64:16,C73H112O16P2
MLCL 64:17,C73H110O16P2
MLCL 64:18,C73H108O16P2
MLCL 64:2,C73H140O16P2
MLCL 64:3,C73H138O16P2
MLCL 64:4,C73H136O16P2
MLCL 64:5,C73H134O16P2
MLCL 64:6,C73H132O16P2
MLCL 64:7,C73H130O16P2
MLCL 64:8,C73H128O16P2
MLCL 64:9,C73H126O16P2
MLCL 65:0,C74H146O16P2
MLCL 65:1,C74H144O16P2
MLCL 65:10,C74H126O16P2
MLCL 65:11,C74H124O16P2
MLCL 65:12,C74H122O16P2
MLCL 65:13,C74H120O16P2
MLCL 65:14,C74H118O16P2
MLCL 65:15,C74H116O16P2
MLCL 65:16,C74H114O16P2
MLCL 65:17,C74H112O16P2
MLCL 65:18,C74H110O16P2
MLCL 65:2,C74H142O16P2
MLCL 65:3,C74H140O16P2
MLCL 65:4,C74H138O16P2
MLCL 65:5,C74H136O16P2
MLCL 65:6,C74H134O16P2
MLCL 65:7,C74H132O16P2
MLCL 65:8,C74H130O16P2
MLCL 65:9,C74H128O16P2
MLCL 66:0,C75H148O16P2
MLCL 66:1,C75H146O16P2
MLCL 66:10,C75H128O16P2
MLCL 66:11,C75H126O16P2
MLCL 66:12,C75H124O16P2
MLCL 66:13,C75H122O16P2
MLCL 66:14,C75H120O16P2
MLCL 66:15,C75H118O16P2
MLCL 66:16,C75H116O16P2
MLCL 66:17,C75H114O16P2
MLCL 66:18,C75H112O16P2
MLCL 66:2,C75H144O16P2
MLCL 66:3,C75H142O16P2
MLCL 66:4,C75H140O16P2
MLCL 66:5,C75H138O16P2
MLCL 66:6,C75H136O16P2
MLCL 66:7,C75H134O16P2
MLCL 66:8,C75H132O16P2
MLCL 66:9,C75H130O16P2
MLCL 69:2,C78H150O16P2
LPIP2 10:0,C19H39O18P3
LPIP2 11:0,C20H41O18P3
LPIP2 12:0,C21H43O18P3
LPIP2 13:0,C22H45O18P3
LPIP2 14:0,C23H47O18P3
LPIP2 14:1,C23H45O18P3
LPIP2 15:0,C24H49O18P3
LPIP2 15:1,C24H47O18P3
LPIP2 16:0,C25H51O18P3
LPIP2 16:1,C25H49O18P3
LPIP2 17:0,C26H53O18P3
LPIP2 17:1,C26H51O18P3
LPIP2 17:2,C26H49O18P3
LPIP2 18:0,C27H55O18P3
LPIP2 18:1,C27H53O18P3
LPIP2 18:2,C27H51O18P3
LPIP2 18:3,C27H49O18P3
LPIP2 18:4,C27H47O18P3
LPIP2 19:0,C28H57O18P3
LPIP2 20:0,C29H59O18P3
LPIP2 20:1,C29H57O18P3
LPIP2 20:2,C29H55O18P3
LPIP2 20:3,C29H53O18P3
LPIP2 20:4,C29H51O18P3
LPIP2 20:5,C29H49O18P3
LPIP2 21:0,C30H61O18P3
LPIP2 22:0,C31H63O18P3
LPIP2 22:1,C31H61O18P3
LPIP2 22:2,C31H59O18P3
LPIP2 22:4,C31H55O18P3
LPIP2 22:5,C31H53O18P3
LPIP2 22:6,C31H51O18P3
LPIP2 23:0,C32H65O18P3
LPIP2 24:0,C33H67O18P3
LPIP2 24:1,C33H65O18P3
LPIP2 24:4,C33H59O18P3
LPIP2 25:0,C34H69O18P3
LPIP2 26:0,C35H71O18P3
LPIP2 26:1,C35H69O18P3
LPIP2 26:2,C35H67O18P3
LPIP2 27:0,C36H73O18P3
LPIP2 28:0,C37H75O18P3
LPIP2 29:0,C38H77O18P3
LPIP2 30:0,C39H79O18P3
LPIP2 31:0,C40H81O18P3
LPIP2 32:0,C41H83O18P3
LPIP2 33:0,C42H85O18P3
LPIP2 34:0,C43H87O18P3
LPIP2 35:0,C44H89O18P3
LPIP2 36:0,C45H91O18P3
LPIP2 37:0,C46H93O18P3
LPIP2 38:0,C47H95O18P3
LPIP2 39:0,C48H97O18P3
LPIP2 O-14:0,C23H49O17P3
LPIP2 O-16:0,C25H53O17P3
LPIP2 O-16:1,C25H51O17P3
LPIP2 O-18:0,C27H57O17P3
LPIP2 O-18:1,C27H55O17P3
LPIP2 O-20:0,C29H61O17P3
LPIP2 O-20:1,C29H59O17P3
LPIP2 O-22:0,C31H65O17P3
LPIP2 O-22:1,C31H63O17P3
LPIP2 P-14:0,C23H47O17P3
LPIP2 P-16:1,C25H49O17P3
LPIP2 P-18:1,C27H53O17P3
LPIP2 P-20:1,C29H57O17P3
LPIP2 P-22:1,C31H61O17P3
PIP2 14:3,C23H39O19P3
PIP2 14:4,C23H37O19P3
PIP2 16:2,C25H45O19P3
PIP2 18:2,C27H49O19P3
PIP2 18:4,C27H45O19P3
PIP2 19:4,C28H47O19P3
PIP2 20:0,C29H57O19P3
PIP2 20:2,C29H53O19P3
PIP2 20:3,C29H51O19P3
PIP2 20:4,C29H49O19P3
PIP2 20:5,C29H47O19P3
PIP2 20:7,C29H43O19P3
PIP2 22:0,C31H61O19P3
PIP2 22:1,C31H59O19P3
PIP2 22:2,C31H57O19P3
PIP2 22:3,C31H55O19P3
PIP2 22:4,C31H53O19P3
PIP2 22:5,C31H51O19P3
PIP2 22:6,C31H49O19P3
PIP2 22:7,C31H47O19P3
PIP2 22:8,C31H45O19P3
PIP2 23:1,C32H61O19P3
PIP2 24:0,C33H65O19P3
PIP2 24:1,C33H63O19P3
PIP2 24:2,C33H61O19P3
PIP2 24:4,C33H57O19P3
PIP2 24:5,C33H55O19P3
PIP2 24:6,C33H53O19P3
PIP2 24:8,C33H49O19P3
PIP2 25:0,C34H67O19P3
PIP2 25:1,C34H65O19P3
PIP2 25:3,C34H61O19P3
PIP2 25:4,C34H59O19P3
PIP2 26:0,C35H69O19P3
PIP2 26:1,C35H67O19P3
PIP2 26:2,C35H65O19P3
PIP2 26:3,C35H63O19P3
PIP2 26:5,C35H59O19P3
PIP2 26:6,C35H57O19P3
PIP2 26:7,C35H55O19P3
PIP2 27:0,C36H71O19P3
PIP2 27:4,C36H63O19P3
PIP2 28:1,C37H71O19P3
PIP2 28:2,C37H69O19P3
PIP2 28:5,C37H63O19P3
PIP2 28:6,C37H61O19P3
PIP2 28:7,C37H59O19P3
PIP2 28:8,C37H57O19P3
PIP2 30:0,C39H77O19P3
PIP2 30:4,C39H69O19P3
PIP2 30:5,C39H67O19P3
PIP2 30:6,C39H65O19P3
PIP2 31:1,C40H77O19P3
PIP2 31:7,C40H65O19P3
PIP2 32:0,C41H81O19P3
PIP2 32:1,C41H79O19P3
PIP2 32:2,C41H77O19P3
PIP2 32:4,C41H73O19P3
PIP2 32:6,C41H69O19P3
PIP2 34:0,C43H85O19P3
PIP2 34:1,C43H83O19P3
PIP2 34:2,C43H81O19P3
"PIP2(3',4') 36:0",C45H89O19P3
"PIP2(3',4') 36:1",C45H87O19P3
"PIP2(3',4') 36:2",C45H85O19P3
"PIP2(3',4') 36:3",C45H83O19P3
"PIP2(3',4') 36:4",C45H81O19P3
"PIP2(3',4') 36:5",C45H79O19P3
"PIP2(3',4') 36:6",C45H77O19P3
"PIP2(3',4') 38:2",C47H89O19P3
"PIP2(3',4') 38:3",C47H87O19P3
"PIP2(3',4') 38:4",C47H85O19P3
"PIP2(3',4') 38:5",C47H83O19P3
"PIP2(3',4') 38:6",C47H81O19P3
"PIP2(3',4') 40:3",C49H91O19P3
"PIP2(3',4') 40:4",C49H89O19P3
"PIP2(3',4') 40:5",C49H87O19P3
"PIP2(3',4') 40:6",C49H85O19P3
"PIP2(3',4') 40:7",C49H83O19P3
PIP2 34:5,C43H75O19P3
PIP2 34:7,C43H71O19P3
PIP2 34:8,C43H69O19P3
PIP2 34:9,C43H67O19P3
PIP2 36:7,C45H75O19P3
PIP2 36:8,C45H73O19P3
PIP2 38:0,C47H93O19P3
PIP2 38:7,C47H79O19P3
PIP2 39:7,C48H81O19P3
PIP2 40:0,C49H97O19P3
PIP2 40:1,C49H95O19P3
PIP2 40:2,C49H93O19P3
PIP2 40:8,C49H81O19P3
PIP2 42:0,C51H101O19P3
PIP2 42:1,C51H99O19P3
PIP2 42:8,C51H85O19P3
PIP2 44:2,C53H101O19P3
PIP2 44:3,C53H99O19P3
PIP2 44:4,C53H97O19P3
PIP2 44:6,C53H93O19P3
PIP2 44:7,C53H91O19P3
PIP2 44:8,C53H89O19P3
PIP2 45:1,C54H105O19P3
PIP2 46:0,C55H109O19P3
PIP2 46:1,C55H107O19P3
PIP2 46:2,C55H105O19P3
PIP2 46:4,C55H101O19P3
PIP2 46:6,C55H97O19P3
PIP2 48:0,C57H113O19P3
PIP2 48:1,C57H111O19P3
PIP2 49:0,C58H115O19P3
PIP2 49:1,C58H113O19P3
PIP2 51:1,C60H117O19P3
PIP2 52:1,C61H119O19P3
PIP2 55:4,C64H119O19P3
PIP2 60:2,C69H133O19P3
PIP2 60:6,C69H125O19P3
LPIM1 14:0,C29H55O17P
LPIM1 14:1,C29H53O17P
LPIM1 14:2,C29H51O17P
LPIM1 14:3,C29H49O17P
LPIM1 14:4,C29H47O17P
LPIM1 15:0,C30H57O17P
LPIM1 15:1,C30H55O17P
LPIM1 15:2,C30H53O17P
LPIM1 15:3,C30H51O17P
LPIM1 15:4,C30H49O17P
LPIM1 16:0,C31H59O17P
LPIM1 16:1,C31H57O17P
LPIM1 16:2,C31H55O17P
LPIM1 16:3,C31H53O17P
LPIM1 16:4,C31H51O17P
LPIM1 17:0,C32H61O17P
LPIM1 17:1,C32H59O17P
LPIM1 17:2,C32H57O17P
LPIM1 17:3,C32H55O17P
LPIM1 17:4,C32H53O17P
LPIM1 18:0,C33H63O17P
LPIM1 18:1,C33H61O17P
LPIM1 18:2,C33H59O17P
LPIM1 18:3,C33H57O17P
LPIM1 18:4,C33H55O17P
LPIM1 18:5,C33H53O17P
LPIM1 19:0,C34H65O17P
LPIM1 19:1,C34H63O17P
LPIM1 19:2,C34H61O17P
LPIM1 19:3,C34H59O17P
LPIM1 19:4,C34H57O17P
LPIM1 19:5,C34H55O17P
LPIM1 20:0,C35H67O17P
LPIM1 20:1,C35H65O17P
LPIM1 20:2,C35H63O17P
LPIM1 20:3,C35H61O17P
LPIM1 20:4,C35H59O17P
LPIM1 20:5,C35H57O17P
LPIM2 14:0,C35H65O22P
LPIM2 14:1,C35H63O22P
LPIM2 14:2,C35H61O22P
LPIM2 14:3,C35H59O22P
LPIM2 14:4,C35H57O22P
LPIM2 15:0,C36H67O22P
LPIM2 15:1,C36H65O22P
LPIM2 15:2,C36H63O22P
LPIM2 15:3,C36H61O22P
LPIM2 15:4,C36H59O22P
LPIM2 16:0,C37H69O22P
LPIM2 16:1,C37H67O22P
LPIM2 16:2,C37H65O22P
LPIM2 16:3,C37H63O22P
LPIM2 16:4,C37H61O22P
LPIM2 17:0,C38H71O22P
LPIM2 17:1,C38H69O22P
LPIM2 17:2,C38H67O22P
LPIM2 17:3,C38H65O22P
LPIM2 17:4,C38H63O22P
LPIM2 18:0,C39H73O22P
LPIM2 18:1,C39H71O22P
LPIM2 18:2,C39H69O22P
LPIM2 18:3,C39H67O22P
LPIM2 18:4,C39H65O22P
LPIM2 18:5,C39H63O22P
LPIM2 19:0,C40H75O22P
LPIM2 19:1,C40H73O22P
LPIM2 19:2,C40H71O22P
LPIM2 19:3,C40H69O22P
LPIM2 19:4,C40H67O22P
LPIM2 19:5,C40H65O22P
LPIM2 20:0,C41H77O22P
LPIM2 20:1,C41H75O22P
LPIM2 20:2,C41H73O22P
LPIM2 20:3,C41H71O22P
LPIM2 20:4,C41H69O22P
LPIM2 20:5,C41H67O22P
PIM1 28:0,C43H81O18P
PIM1 28:1,C43H79O18P
PIM1 28:2,C43H77O18P
PIM1 28:3,C43H75O18P
PIM1 28:4,C43H73O18P
PIM1 28:5,C43H71O18P
PIM1 28:6,C43H69O18P
PIM1 28:7,C43H67O18P
PIM1 28:8,C43H65O18P
PIM1 29:0,C44H83O18P
PIM1 29:1,C44H81O18P
PIM1 29:2,C44H79O18P
PIM1 29:3,C44H77O18P
PIM1 29:4,C44H75O18P
PIM1 29:5,C44H73O18P
PIM1 29:6,C44H71O18P
PIM1 29:7,C44H69O18P
PIM1 29:8,C44H67O18P
PIM1 30:0,C45H85O18P
PIM1 30:1,C45H83O18P
PIM1 30:2,C45H81O18P
PIM1 30:3,C45H79O18P
PIM1 30:4,C45H77O18P
PIM1 30:5,C45H75O18P
PIM1 30:6,C45H73O18P
PIM1 30:7,C45H71O18P
PIM1 30:8,C45H69O18P
PIM1 31:0,C46H87O18P
PIM1 31:1,C46H85O18P
PIM1 31:2,C46H83O18P
PIM1 31:3,C46H81O18P
PIM1 31:4,C46H79O18P
PIM1 31:5,C46H77O18P
PIM1 31:6,C46H75O18P
PIM1 31:7,C46H73O18P
PIM1 31:8,C46H71O18P
PIM1 32:0,C47H89O18P
PIM1 32:1,C47H87O18P
PIM1 32:2,C47H85O18P
PIM1 32:3,C47H83O18P
PIM1 32:4,C47H81O18P
PIM1 32:5,C47H79O18P
PIM1 32:6,C47H77O18P
PIM1 32:7,C47H75O18P
PIM1 32:8,C47H73O18P
PIM1 32:9,C47H71O18P
PIM1 33:0,C48H91O18P
PIM1 33:1,C48H89O18P
PIM1 33:2,C48H87O18P
PIM1 33:3,C48H85O18P
PIM1 33:4,C48H83O18P
PIM1 33:5,C48H81O18P
PIM1 33:6,C48H79O18P
PIM1 33:7,C48H77O18P
PIM1 33:8,C48H75O18P
PIM1 33:9,C48H73O18P
PIM1 34:0,C49H93O18P
PIM1 34:1,C49H91O18P
PIM1 34:2,C49H89O18P
PIM1 34:3,C49H87O18P
PIM1 34:4,C49H85O18P
PIM1 34:5,C49H83O18P
PIM1 34:6,C49H81O18P
PIM1 34:7,C49H79O18P
PIM1 34:8,C49H77O18P
PIM1 34:9,C49H75O18P
PIM1 35:0,C50H95O18P
PIM1 35:1,C50H93O18P
PIM1 35:2,C50H91O18P
PIM1 35:3,C50H89O18P
PIM1 35:4,C50H87O18P
PIM1 35:5,C50H85O18P
PIM1 35:6,C50H83O18P
PIM1 35:7,C50H81O18P
PIM1 35:8,C50H79O18P
PIM1 35:9,C50H77O18P
PIM1 36:0,C51H97O18P
PIM1 36:1,C51H95O18P
PIM1 36:10,C51H77O18P
