,Cpd,Formula,RT,Mass,CAS_ID,Source,Score,Algorithm
144,2512,C26H52NO9P,18.028,553.3386,,FBF,87.55,FBF
145,2447,C31H58NO10P,4.256,635.3778,,FBF,87.49,FBF
146,4147,C42H73N2O6P,20.029,732.5231,,FBF,87.44,FBF
147,3602,C16H18N2O5S,9.842,350.092,,FBF,87.42,FBF
148,988,C40H76O10,11.895,716.5425,,FBF,87.41,FBF
149,245,C4H9NO2,0.388,103.0634,,FBF,87.39,FBF
150,357,C4H6O2,0.388,86.0367,,FBF,87.39,FBF
151,3129,C62H122NO10P,22.159,1071.8818,,FBF,87.35,FBF
152,1827,C68H106O11,18.209,1098.7725,,FBF,87.29,FBF
153,873,C14H26O,10.829,210.1981,,FBF,87.14,FBF
154,479,C14H29NO,10.803,227.2247,,FBF,87.12,FBF
155,738,C35H52O4,1.66,536.3859,,FBF,87.07,FBF
156,297,C14H26O3,17.326,242.1881,,FBF,86.99,FBF
157,419,C15H22O,10.622,218.1666,,FBF,86.98,FBF
158,186,C14H22N2O3,8.906,266.1649,,FBF,86.84,FBF
159,3044,C41H79O13P,20.081,810.5256,,FBF,86.77,FBF
160,4378,C24H31NO7,4.749,445.2126,,FBF,86.76,FBF
161,3635,C7H11N5O,3.763,181.0965,,FBF,86.7,FBF
162,197,C12H20O10,5.503,324.1055,,FBF,86.68,FBF
163,3934,C68H128N2O22,20.055,1324.8901,,FBF,86.67,FBF
164,3462,C12H23N3O5S2,10.284,353.1085,,FBF,86.64,FBF
165,1354,C66H108O12S,18.885,1124.7582,,FBF,86.63,FBF
166,494,C9H16N2O4,8.022,216.1108,,FBF,86.57,FBF
167,14,C5H13NO,0.388,103.0993,,FBF,86.31,FBF
168,400,C5H10O,0.388,86.0727,,FBF,86.31,FBF
169,4105,C36H71N2O6P,11.037,658.5035,,FBF,86.3,FBF
170,1361,C68H120O13S,20.159,1176.8421,,FBF,86.24,FBF
171,20,C16H18FN3O3,0.647,319.1314,,FBF,86.22,FBF
172,1716,C32H58O11,20.263,618.3978,,FBF,86.21,FBF
173,4254,C31H52N2O6,18.131,548.3869,,FBF,86.14,FBF
174,193,C14H19NO2,18.573,233.1421,,FBF,86.12,FBF
175,3136,C64H126NO10P,19.353,1099.9121,,FBF,86.12,FBF
176,1973,C31H59NO6,20.367,541.4319,,FBF,86.12,FBF
177,2236,C27H47O10P,4.749,562.2907,,FBF,86.09,FBF
178,3512,C3H7O4P,0.388,138.0079,,FBF,86.09,FBF
179,3517,C3H10NO4P,0.388,155.0345,,FBF,86.09,FBF
180,1828,C68H106O12,18.209,1114.7679,,FBF,86.02,FBF
181,3513,C2H5O5P,13.195,139.9874,,FBF,86.02,FBF
182,1234,C66H108O10,14.911,1060.7952,,FBF,85.95,FBF
183,4068,C54H97NO11S,16.574,967.674,,FBF,85.94,FBF
184,2016,C47H82O6,18.002,742.6128,,FBF,85.92,FBF
185,352,C12H22O2,10.751,198.1616,,FBF,85.77,FBF
186,2611,C62H112NO8P,20.445,1029.813,,FBF,85.77,FBF
187,3619,C8H15N,21.484,125.1201,,FBF,85.76,FBF
188,4250,C30H47N3O6,17.69,545.3474,,FBF,85.7,FBF
189,2194,C42H81O7P,19.171,728.5727,,FBF,85.66,FBF
190,637,C19H37NO2,7.944,311.2825,,FBF,85.62,FBF
191,399,C17H32O,12.753,252.2447,,FBF,85.6,FBF
192,128,C16H22O4,9.894,278.1516,,FBF,85.52,FBF
193,1444,C35H59NO8,19.093,621.4269,,FBF,85.5,FBF
194,1474,C41H79NO9,20.055,729.5745,,FBF,85.44,FBF
195,207,C4H8O5,16.574,136.0377,,FBF,85.43,FBF
196,3385,C11H16N2O8,9.036,304.0888,,FBF,85.42,FBF
197,3310,C5H4N4O,17.846,136.0382,,FBF,85.29,FBF
198,64,C8H7NO,3.633,133.0524,,FBF,85.28,FBF
199,2493,C36H64NO9P,19.145,685.4309,,FBF,85.19,FBF
207,223,C9H18O3,0.415,174.1254,,FBF,99.61,FBF
215,542,C18H35NO,12.183,281.2722,,FBF,99.26,FBF
216,300,C18H32O,12.183,264.2456,,FBF,99.23,FBF
236,538,C22H43NO,15.327,337.3342,,FBF,97.9,FBF
239,314,C18H37NO,13.535,283.288,,FBF,97.81,FBF
240,302,C18H34O,13.535,266.2615,,FBF,97.81,FBF
247,587,C22H35NO6,7.894,409.248,,FBF,96.6,FBF
249,3446,C20H29N7O4,7.894,431.2299,,FBF,95.81,FBF
252,3735,C9H15NO,0.441,153.1155,,FBF,95.77,FBF
255,524,C18H33NO2,8.804,295.251,,FBF,94.49,FBF
256,265,C18H30O2,8.804,278.2243,,FBF,94.49,FBF
257,1260,C36H66O12S,4.492,722.4278,,FBF,94.41,FBF
258,4378,C36H69NO12S,4.492,739.4543,,FBF,94.41,FBF
260,1322,C38H70O13S,4.596,766.4533,,FBF,94.28,FBF
262,2556,C33H58NO10P,17.195,659.3811,,FBF,94.21,FBF
263,3655,C10H13N3O2,13.249,207.101,,FBF,94.2,FBF
266,11,C9H7N,2.258,129.0577,,FBF,93.89,FBF
267,5146,C48H75NO7S,17.766,809.5265,,FBF,93.85,FBF
268,1447,C33H53NO10,18.156,623.3665,,FBF,93.81,FBF
269,4940,C26H46O7S,3.634,502.298,,FBF,93.46,FBF
274,2938,C31H53O14P,12.625,680.32,,FBF,92.89,FBF
275,3569,C9H17N3O5S,5.037,279.0893,,FBF,92.69,FBF
279,4928,C24H42O6S,3.375,458.2717,,FBF,92.35,FBF
280,23,C7H16N4O,17.039,172.1336,,FBF,92.08,FBF
281,89,C25H30NO3,7.894,392.2229,,FBF,91.89,FBF
284,2496,C19H40NO6P,12.365,409.2582,,FBF,91.48,FBF
285,4885,C36H53NO11,12.625,675.3598,,FBF,91.47,FBF
294,2547,C41H68NO7P,4.492,717.4721,,FBF,90.36,FBF
295,2553,C29H54NO9P,4.05,591.3537,,FBF,90.31,FBF
296,2493,C23H48NO7P,3.608,481.3171,,FBF,90.14,FBF
297,4636,C22H47NO2,9.844,357.36,,FBF,90.13,FBF
299,4635,C20H43NO2,8.752,329.3285,,FBF,89.88,FBF
300,3668,C12H26O7,17.247,282.1685,,FBF,89.75,FBF
302,3744,C17H13NO3,5.037,279.0898,,FBF,89.54,FBF
303,3330,C22H26O6,7.218,386.1732,,FBF,89.27,FBF
305,5,C20H33N3,11.481,315.2659,,FBF,89.17,FBF
306,4760,C21H25NO8,7.894,419.1599,,FBF,89.0,FBF
307,430,C24H40N2O3,12.365,404.3033,,FBF,88.93,FBF
308,4893,C37H59NO8,19.065,645.4215,,FBF,88.9,FBF
309,667,C25H48O4,10.39,412.354,,FBF,88.87,FBF
310,3757,C18H14O4,3.764,294.0878,,FBF,88.82,FBF
311,4008,C35H66NO6P,10.234,627.4619,,FBF,88.77,FBF
312,4487,C35H69N2O6P,10.234,644.4884,,FBF,88.77,FBF
314,1582,C44H78O11,15.015,782.5578,,FBF,88.68,FBF
316,4767,C24H33NO6,7.894,431.2298,,FBF,88.62,FBF
317,1696,C73H118O11,17.818,1170.8644,,FBF,88.57,FBF
318,3353,C4H9NO4,20.649,135.0542,,FBF,88.56,FBF
319,2427,C40H78NO9P,17.688,747.5417,,FBF,88.32,FBF
320,3676,C30H62O10,10.26,582.4318,,FBF,88.31,FBF
322,2035,C36H68O6,15.82,596.5016,,FBF,88.3,FBF
323,3862,C45H81NO3,19.065,683.6197,,FBF,88.28,FBF
325,2996,C68H121O13P,20.312,1176.8556,,FBF,88.19,FBF
326,76,C22H28N2O2,16.572,352.2129,,FBF,88.16,FBF
327,3504,C17H30N6O4S,7.894,414.2043,,FBF,88.14,FBF
328,2708,C28H58O11P2,12.651,632.3455,,FBF,88.13,FBF
332,3625,C5H6O5,10.675,146.0225,,FBF,87.8,FBF
336,4974,C24H39NO10S,6.076,533.23,,FBF,87.67,FBF
338,3602,C21H30N4O4,10.961,402.2251,,FBF,87.56,FBF
340,2247,C49H79O8P,17.74,826.552,,FBF,87.54,FBF
341,4705,C19H22O,16.417,266.1657,,FBF,87.53,FBF
342,2687,C17H35O9P,7.894,414.204,,FBF,87.5,FBF
343,3811,C15H24O3,21.74,252.1706,,FBF,87.48,FBF
344,3533,C22H33N5O4S,3.401,463.2266,,FBF,87.47,FBF
345,4377,C34H65NO11S,4.362,695.4293,,FBF,87.46,FBF
346,1418,C34H62O11S,4.362,678.4026,,FBF,87.46,FBF
347,3652,C21H41N5O7,3.375,475.2983,,FBF,87.46,FBF
348,316,C20H41NO,15.301,311.3175,,FBF,87.44,FBF
349,1578,C42H72O12,17.714,768.5004,,FBF,87.44,FBF
353,3738,C34H40N4O4,3.868,568.3066,,FBF,87.35,FBF
355,837,C8H16,16.884,112.1248,,FBF,87.24,FBF
356,3358,C6H9NO3,12.729,143.0579,,FBF,87.2,FBF
358,3528,C15H30N4O4,6.985,330.2273,,FBF,87.13,FBF
359,1886,C33H57NO6,14.548,563.4194,,FBF,86.99,FBF
360,933,C37H56O5,19.325,580.414,,FBF,86.96,FBF
361,3045,C62H112NO11P,18.104,1077.7966,,FBF,86.88,FBF
363,2805,C44H85O10P,12.677,804.584,,FBF,86.86,FBF
365,827,C22H44O2,9.844,340.3337,,FBF,86.68,FBF
366,1400,C24H44O9,3.375,476.3004,,FBF,86.67,FBF
367,4949,C28H50O8S,3.868,546.3246,,FBF,86.64,FBF
368,2849,C63H124O16P2,20.13,1198.8363,,FBF,86.64,FBF
369,71,C14H12N4O2S,12.729,300.0668,,FBF,86.62,FBF
371,2393,C46H86NO8P,14.678,811.6097,,FBF,86.55,FBF
372,362,C27H41NO5,15.327,459.298,,FBF,86.5,FBF
373,2503,C38H72NO7P,10.961,685.5068,,FBF,86.5,FBF
375,285,C8H18O3,12.313,162.1254,,FBF,86.4,FBF
