index,Cpd,Formula,RT,Mass,CAS_ID,Source,Score,Algorithm,Source_Key,Common_names
3087,3089,C29H48NO11P,14.443,617.2966,,FBF,82.95,FBF,bigmed,"['(1R,15S,16R,21R,23S)-8-[3-[diethoxy(oxido)phosphaniumyl]propyl]-23-methoxy-18-phenyl-2,5,11,14,17,19,22-heptaoxa-8-azatricyclo[13.8.0.016,21]tricosane']"
1142,1144,C38H70O9,15.352,670.5003,,FBF,82.74,FBF,bigmed,"['[1-[(13Z,16Z)-docosa-13,16-dienoxy]-3-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxypropan-2-yl] heptanoate', '[1-decoxy-3-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxypropan-2-yl] (9Z,12Z)-nonadeca-9,12-dienoate', '[1-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3-undecoxypropan-2-yl] (9Z,12Z)-octadeca-9,12-dienoate', '[1-[(11Z,14Z)-icosa-11,14-dienoxy]-3-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxypropan-2-yl] nonanoate', '[1-[(13Z,16Z)-tetracosa-13,16-dienoxy]-3-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxypropan-2-yl] pentanoate']"
4441,4444,C35H53NO11,5.113,663.3617,,FBF,82.49,FBF,bigmed,"['[(1R,2S,6S,9S,10R,11S,12S,14R,15S,18S,19S,22S,23R,25R)-12,23-diacetyloxy-1,10,11,14-tetrahydroxy-6,10,19-trimethyl-24-oxa-4-azaheptacyclo[12.12.0.02,11.04,9.015,25.018,23.019,25]hexacosan-22-yl] 2-methylpropanoate', '2-oxotridec-6-en-4-yl 3-[3-[3-methoxy-4-(4-nitrophenoxy)butanoyl]oxybutanoyloxy]heptanoate', '[(3R,3aR,4S,6S,6aR,7S,8S,9bS)-6-acetyloxy-4-(3-amino-2-methylbutanoyl)oxy-3a-hydroxy-3,6,9-trimethyl-8-[(Z)-2-methylbut-2-enoyl]oxy-2-oxo-4,5,6a,7,8,9b-hexahydro-3H-azuleno[4,5-b]furan-7-yl] octanoate', '[(Z)-1,2-bis[(1S,4S,5R,8S,9R,10S,12R,13R)-1,5,9-trimethyl-11,14,15,16-tetraoxatetracyclo[10.3.1.04,13.08,13]hexadecan-10-yl]ethylideneamino] ethyl carbonate', '(E)-N-[(2S,6R)-2,6-dihydroxycyclohexyl]-3-[3-hydroxy-4-[(3S,5S)-3-hydroxy-5-[(E)-1-hydroxy-4-phenoxybut-2-en-2-yl]oxolan-2-yl]oxyphenyl]-2-methylprop-2-enamide;ethane;methanediol']"
1724,1726,C35H50O11,5.113,646.3359,,FBF,82.49,FBF,bigmed,"['[(1S,2S,4R,5S,6S,10S,11R,12R,13R,14S,15R)-13-acetyloxy-5,6,11,14-tetrahydroxy-4-(hydroxymethyl)-8,12-dimethyl-7-oxo-14-prop-1-en-2-yl-3-oxatetracyclo[9.4.0.02,4.06,10]pentadec-8-en-15-yl] (2E,4E)-trideca-2,4-dienoate', '[(1R,2S,4R,5S,6S,10R,11R,12R,13R,14R,18R)-14-acetyl-5,6-dihydroxy-4-(hydroxymethyl)-8,12-dimethyl-11-[(1E,3E)-nona-1,3-dienoxy]-7-oxo-3,15,17-trioxapentacyclo[9.7.0.02,4.06,10.014,18]octadec-8-en-13-yl] hexanoate', '[(2R,3S,4R,5R,6S)-3,4-diacetyloxy-5-hydroxy-6-[4-hydroxy-2-[(2E,6E,9E)-11-methoxy-3,7,11-trimethyldodeca-2,6,9-trienyl]-5-methylphenoxy]oxan-2-yl]methyl acetate', '[(1R,3S,5S,6aR,7R,8R,9R,10S,10aR)-1,9,10-triacetyloxy-3-butanoyloxy-7,8-dimethyl-7-(3-methylidenepent-4-enyl)-1,3,5,6,6a,8,9,10-octahydrobenzo[d][2]benzofuran-5-yl] 2-methylbutanoate', '[6-[3,5-dihydroxy-2-[3-(4-hydroxyphenyl)propanoyl]phenoxy]-3,4,5-trihydroxyoxan-2-yl]methyl tetradecanoate']"
572,574,C24H44N2O,15.95,376.3456,,FBF,82.48,FBF,bigmed,"['N,N-dibutyl-5-[4-(diethylaminomethyl)phenoxy]pentan-1-amine', '6-(hexadecylamino)-2,4,5-trimethylpyridin-3-ol', '4-octadecoxybenzene-1,3-diamine', '4-tert-butyl-2,6-bis[(hexylamino)methyl]phenol', 'N-(2,5-dimethylpyrrol-1-yl)octadecanamide']"
2249,2251,C32H53O9P,14.807,612.3411,,FBF,81.77,FBF,bigmed,"['3-[4,5-dibutoxy-6-(butoxymethyl)-2-cyclohexyloxyoxan-3-yl]oxy-1,5-dihydro-2,4,3lambda5-benzodioxaphosphepine 3-oxide', '(22-hexa-3,5-dien-2-yl-8,14,20-trihydroxy-7,13,15,17,21-pentamethyl-2-oxo-1-oxacyclodocosa-3,5,11-trien-10-yl) dihydrogen phosphate', '(22-hexa-3,5-dien-2-yl-10,14,20-trihydroxy-7,13,15,17,21-pentamethyl-2-oxo-1-oxacyclodocosa-3,5,11-trien-8-yl) dihydrogen phosphate', '2-[[dihydroxy(methylidene)-lambda5-phosphanyl]methyl]-5-[[(4R)-4-[(3R,5R,10S,13R)-3-hydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoyl]oxymethoxy]-5-oxopentanoic acid']"
3766,3769,C39H67NO3,18.183,597.5119,,FBF,81.31,FBF,bigmed,"['(8Z,11Z,14Z,17Z,20Z,23Z)-N-(1,3-dihydroxytridecan-2-yl)hexacosa-8,11,14,17,20,23-hexaenamide', '(13Z,16Z,19Z,22Z,25Z)-N-[(E)-1,3-dihydroxyundec-4-en-2-yl]octacosa-13,16,19,22,25-pentaenamide', '(14Z,17Z,20Z,23Z)-N-[(4E,8E)-1,3-dihydroxytrideca-4,8-dien-2-yl]hexacosa-14,17,20,23-tetraenamide', '(5Z,8Z,11Z,14Z,17Z)-N-[(E)-1,3-dihydroxynonadec-4-en-2-yl]icosa-5,8,11,14,17-pentaenamide', '(10Z,13Z,16Z)-N-[(4E,8E,12E)-1,3-dihydroxypentadeca-4,8,12-trien-2-yl]tetracosa-10,13,16-trienamide']"
527,529,C32H57NO3,17.742,503.4385,,FBF,80.54,FBF,bigmed,"['3-(3,5-dimethyl-4-octadecanoyl-1-pentylpyrrol-2-yl)propanoic acid', 'N-[(2S,3S)-1,3-dihydroxyoctadecan-2-yl]-4-heptylbenzamide', '2-(1-hexyl-3,5-dimethyl-4-octadecanoylpyrrol-2-yl)acetic acid', 'N-[(2S,3R)-1,3-dihydroxyoctadecan-2-yl]-4-heptylbenzamide', 'N-[5-hexadecoxy-2-hydroxy-4-(2,4,4-trimethylpentan-2-yl)phenyl]acetamide']"
2,3,C15H25NO4,10.803,283.1766,,FBF,80.38,FBF,bigmed,"['[(8S)-5,6,7,8-tetrahydro-3H-pyrrolizin-1-yl]methyl (2S)-2-hydroxy-2-[(1R)-1-hydroxyethyl]-3-methylbutanoate', '1-[4-(1-hydroxy-2-methoxyethyl)phenoxy]-3-(propan-2-ylamino)propan-2-ol', '1-[4-(2-hydroxyethoxymethyl)phenoxy]-3-(propan-2-ylamino)propan-2-ol', '1-[4-(2-methoxyethoxy)phenoxy]-3-(propan-2-ylamino)propan-2-ol', '[(8S)-5,6,7,8-tetrahydro-3H-pyrrolizin-1-yl]methyl (2S)-2-hydroxy-2-[(1S)-1-hydroxyethyl]-3-methylbutanoate']"
2503,2505,C53H82NO7P,17.976,875.5837,,FBF,80.12,FBF,bigmed,"['[1-[2-aminoethoxy(hydroxy)phosphoryl]oxy-3-[(5Z,8Z,11Z,14Z,17Z,20Z,23Z)-hexacosa-5,8,11,14,17,20,23-heptaenoxy]propan-2-yl] (4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoate', '[1-[2-aminoethoxy(hydroxy)phosphoryl]oxy-3-[(4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoxy]propan-2-yl] (5Z,8Z,11Z,14Z,17Z,20Z,23Z)-hexacosa-5,8,11,14,17,20,23-heptaenoate']"
