index,Cpd,Formula,RT,Mass,CAS_ID,Source,Score,Algorithm,Source_Key,Common_names
5422,5423,C31H46NO13P,4.229,671.2689,,FBF,91.04,FBF,med,"['tert-butyl N-[(2E,5S,9R,10R,11Z,13R,14S)-10-hydroxy-18-(methoxymethoxy)-7,7,13,14-tetramethyl-16-oxo-6,8,15-trioxatricyclo[15.4.0.05,9]henicosa-1(17),2,11,18,20-pentaen-20-yl]-N-(2-phosphonooxyethyl)carbamate', 'tert-butyl N-[(5S,9R,10R,13R,14S)-10-hydroxy-18-(methoxymethoxy)-7,7,13,14-tetramethyl-16-oxo-6,8,15-trioxatricyclo[15.4.0.05,9]henicosa-1(17),2,11,18,20-pentaen-20-yl]-N-(2-phosphonooxyethyl)carbamate', '4-O-benzyl 1-O-[4-[[(2S,4R)-4-[(3-methoxy-3-oxopropyl)carbamoyl]-5,5-dimethyl-2-oxo-1,3,2lambda5-dioxaphosphinan-2-yl]oxymethoxy]-2,2-dimethyl-4-oxobutyl] (2S)-2-propan-2-ylbutanedioate', '4-O-benzyl 1-O-[4-[[(4R)-4-[(3-methoxy-3-oxopropyl)carbamoyl]-5,5-dimethyl-2-oxo-1,3,2lambda5-dioxaphosphinan-2-yl]oxymethoxy]-2,2-dimethyl-4-oxobutyl] (2S)-2-propan-2-ylbutanedioate', 'tert-butyl N-[(5S,9R,10R,11Z,13R,14S)-10-hydroxy-18-(methoxymethoxy)-7,7,13,14-tetramethyl-16-oxo-6,8,15-trioxatricyclo[15.4.0.05,9]henicosa-1(17),2,11,18,20-pentaen-20-yl]-N-(2-phosphonooxyethyl)carbamate']"
6896,6900,C69H129NO5,17.977,1051.9853,,FBF,90.98,FBF,med,"['[(Z)-25-[[(E)-1,3-dihydroxytricos-4-en-2-yl]amino]-25-oxopentacos-14-enyl] (11Z,14Z)-henicosa-11,14-dienoate', '[(Z)-32-[[(E)-1,3-dihydroxypentadec-4-en-2-yl]amino]-32-oxodotriacont-15-enyl] (13Z,16Z)-docosa-13,16-dienoate', '[(6Z,8Z)-22-(1,3-dihydroxyhexacosan-2-ylamino)-22-oxodocosa-6,8-dienyl] (11Z,14Z)-henicosa-11,14-dienoate', '[(12Z,15Z)-30-[[(E)-1,3-dihydroxyhenicos-4-en-2-yl]amino]-30-oxotriaconta-12,15-dienyl] (Z)-octadec-9-enoate', '[(Z)-28-[[(E)-1,3-dihydroxyhenicos-4-en-2-yl]amino]-28-oxooctacos-15-enyl] (11Z,14Z)-icosa-11,14-dienoate']"
8321,8325,C29H40O5,7.556,468.2874,,FBF,90.71,FBF,med,"['(6R)-2-methyl-3-methylidene-6-[(4S,5S,10S,13R,14R,17R)-4,10,13-trimethyl-3,7,11-trioxo-1,2,4,5,6,12,14,15,16,17-decahydrocyclopenta[a]phenanthren-17-yl]heptanoic acid', '(2S,6R)-2-methyl-3-methylidene-6-[(4S,5S,10S,13R,14R,17R)-4,10,13-trimethyl-3,7,11-trioxo-1,2,4,5,6,12,14,15,16,17-decahydrocyclopenta[a]phenanthren-17-yl]heptanoic acid', '2-methyl-3-methylidene-6-[(4S)-4,10,13-trimethyl-3,7,11-trioxo-1,2,4,5,6,12,14,15,16,17-decahydrocyclopenta[a]phenanthren-17-yl]heptanoic acid', '(2R,6R)-2-methyl-3-methylidene-6-[(4S,5S,10S,13R,14R,17R)-4,10,13-trimethyl-3,7,11-trioxo-1,2,4,5,6,12,14,15,16,17-decahydrocyclopenta[a]phenanthren-17-yl]heptanoic acid', '[4-[[(2S,3S)-3-propyloxiran-2-yl]methoxy]phenyl] 4-decoxybenzoate']"
859,860,C28H57NO,19.874,423.4425,,FBF,90.07,FBF,med,"['octacosanamide', 'N-tetradecyltetradecanamide', 'N-dodecylhexadecanamide', 'N,N-didecyloctanamide', 'N-hexadecyldodecanamide']"
4843,4844,C35H59O12P,14.054,702.3732,,FBF,89.56,FBF,med,[]
7638,7642,C26H43NO8,14.547,497.2969,,FBF,89.49,FBF,med,"['(2R,4S,5R)-2-[[(3S,5R,8R,9S,10S,13R,14S,17S)-14-hydroxy-10,13-dimethyl-17-(nitromethyl)-1,2,3,4,5,6,7,8,9,11,12,15,16,17-tetradecahydrocyclopenta[a]phenanthren-3-yl]oxy]-6-methyloxane-3,4,5-triol', 'N,N-diethyl-2-(2-heptyl-4-methylphenoxy)ethanamine;2-hydroxypropane-1,2,3-tricarboxylic acid', '16-(prop-2-enoxycarbonylamino)hexadecyl (2R)-3-hydroxy-2-(hydroxymethyl)-5-oxo-2H-furan-4-carboxylate', '(1R,2S,3S,4S,5R,6S,8R,9S,10S,13S,16S,17R,18S)-11-ethyl-4,6,16,18-tetramethoxy-13-(methoxymethyl)-11-azahexacyclo[7.7.2.12,5.01,10.03,8.013,17]nonadecane-2,8,9-triol', '2-ethylhexyl 2-methylprop-2-enoate;N-(hydroxymethyl)prop-2-enamide;2-(2-methylprop-2-enoyloxy)ethyl 2-methylprop-2-enoate']"
7255,7259,C41H75N2O6P,14.106,722.5343,,FBF,89.11,FBF,med,"['[(4E,8E,12E)-2-[[(4Z,7Z)-hexadeca-4,7-dienoyl]amino]-3-hydroxyicosa-4,8,12-trienyl] 2-(trimethylazaniumyl)ethyl phosphate', '[(4E,8E,12E)-3-hydroxy-2-[[(10Z,12Z)-octadeca-10,12-dienoyl]amino]octadeca-4,8,12-trienyl] 2-(trimethylazaniumyl)ethyl phosphate', '[(4E,8E,12E)-3-hydroxy-2-[[(11Z,14Z)-icosa-11,14-dienoyl]amino]hexadeca-4,8,12-trienyl] 2-(trimethylazaniumyl)ethyl phosphate', '[(4E,8E,12E)-2-[[(14Z,16Z)-docosa-14,16-dienoyl]amino]-3-hydroxytetradeca-4,8,12-trienyl] 2-(trimethylazaniumyl)ethyl phosphate', '[3-hydroxy-2-[[(3Z,6Z,9Z,12Z,15Z)-octadeca-3,6,9,12,15-pentaenoyl]amino]octadecyl] 2-(trimethylazaniumyl)ethyl phosphate']"
5873,5874,C12H19N5O5,9.869,313.1416,,FBF,88.69,FBF,med,"['(2R,3R,4S)-3-acetamido-4-(diaminomethylideneamino)-2-(dimethylcarbamoyl)-3,4-dihydro-2H-pyran-6-carboxylic acid', '7-(2,3-dihydroxypropyl)-8-(2-hydroxyethylamino)-1,3-dimethylpurine-2,6-dione', '2-amino-9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1,7-dimethyl-8H-purin-6-one', '2-amino-9-[(2R,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1,7-dimethyl-8H-purin-6-one', '(2R,3R,4S,5R)-2-[6-amino-6-(2-hydroxyethyl)-8H-purin-9-yl]-5-(hydroxymethyl)oxolane-3,4-diol']"
6407,6411,C9H16N4OS,7.893,228.1038,,FBF,88.19,FBF,med,"['1-(5-tert-butyl-1,3,4-thiadiazol-2-yl)-1,3-dimethylurea', 'N-methyl-2-[(4-methyl-5-propan-2-yl-1,2,4-triazol-3-yl)sulfanyl]acetamide', '4-butyl-6-methyl-2-sulfanylidene-1,3,3a,6a-tetrahydroimidazo[4,5-d]imidazol-5-one', '4-amino-6-tert-butyl-3-ethylsulfanyl-1,2,4-triazin-5-one', '1-tert-butyl-3-(5-ethyl-1,3,4-thiadiazol-2-yl)urea']"
1090,1091,C24H41NO4,13.352,407.3033,,FBF,88.14,FBF,med,"['N-(2-hydroxyethyl)-11-(3-hydroxy-5-pentylphenoxy)undecanamide', '2-methyl-N-(2,4,6-trimethoxyphenyl)tetradecanamide', 'N-(2,4,6-trimethoxyphenyl)pentadecanamide', '15-hydroxy-N-[(2S)-1-hydroxy-3-(4-hydroxyphenyl)propan-2-yl]pentadecanamide', 'azocan-1-yl-[(2S,3S,4R)-4-cyclohexyl-2-ethoxy-3-(3-hydroxypropyl)-3,4-dihydro-2H-pyran-6-yl]methanone']"
2650,2651,C53H79NO10,11.377,889.5719,,FBF,88.09,FBF,med,[]
1069,1070,C8H15NO4,5.919,189.1005,,FBF,87.72,FBF,med,"['(1S,6S,7R,8R,8aR)-1,2,3,5,6,7,8,8a-octahydroindolizine-1,6,7,8-tetrol', '(1S,6R,7R,8R,8aR)-1,2,3,5,6,7,8,8a-octahydroindolizine-1,6,7,8-tetrol', '(1R,2R,3R,7S,8R)-3-(hydroxymethyl)-2,3,5,6,7,8-hexahydro-1H-pyrrolizine-1,2,7-triol', '2-[methyl-[(2-methylpropan-2-yl)oxycarbonyl]amino]acetic acid', '(2S)-2-[(2-methylpropan-2-yl)oxycarbonylamino]propanoic acid']"
1811,1812,C48H90O14,20.108,890.6331,,FBF,87.65,FBF,med,"['2-[6-[15-[5-[4-(6-ethyl-5-hydroxy-5-methyloxan-2-yl)-1,4-dihydroxy-2-methylpentyl]-5-methyloxolan-2-yl]-2,4,8,10,14,15-hexahydroxy-3,7,11,13-tetramethylpentadecyl]-3,5-dimethyloxan-2-yl]propanoic acid', '[(2R,3R,4S,5S,6R)-2-[(3S,4S,5R)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl] 2-hexadecyl-3-oxoicosanoate', '[1-tetradecoxy-3-[3,4,5-trihydroxy-6-[[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-2-yl]oxypropan-2-yl] (Z)-nonadec-9-enoate', '[1-nonoxy-3-[3,4,5-trihydroxy-6-[[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-2-yl]oxypropan-2-yl] (Z)-tetracos-13-enoate', '[1-dodecoxy-3-[3,4,5-trihydroxy-6-[[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-2-yl]oxypropan-2-yl] (Z)-henicos-11-enoate']"
3070,3071,C30H51NO7,7.763,537.3686,,FBF,87.6,FBF,med,"['[(3Z,5S,6S,7S,8R,9S,11Z,13S,14S,15S,16Z,18S)-8,14,18-trihydroxy-5,7,9,11,13,15-hexamethyl-19-[(2R)-5-oxooxolan-2-yl]nonadeca-3,11,16-trien-6-yl] carbamate', '(2S,3R,4S,5S,6R)-2-[[(1E,3R,8R,9R,10R,11S,14S)-9-hydroxy-14-(methoxymethyl)-3,10-dimethyl-6-propan-2-yl-8-tricyclo[9.3.0.03,7]tetradeca-1,6-dienyl]oxy]-6-(propylaminomethyl)oxane-3,4,5-triol', '[(3Z,5S,6S,7S,8R,9S,11Z,13S,14S,15S,16Z,18R)-8,14,18-trihydroxy-5,7,9,11,13,15-hexamethyl-19-[(2S)-5-oxooxolan-2-yl]nonadeca-3,11,16-trien-6-yl] carbamate', 'tert-butyl (2S,3R,5R)-5-[(1R,3R)-1-hydroxy-3-(hydroxymethyl)-4-methylpentyl]-2-[4-methoxy-3-(3-methoxypropoxy)phenyl]-3-propan-2-ylpyrrolidine-1-carboxylate', '2-[(E)-[(2R,3S,5S,8S,9S,10R,13S,14S,17R)-17-[(2S,3R,4R,5S)-3,4-dihydroxy-5,6-dimethylheptan-2-yl]-2,3-dihydroxy-10,13-dimethyl-1,2,3,4,5,7,8,9,11,12,14,15,16,17-tetradecahydrocyclopenta[a]phenanthren-6-ylidene]amino]oxyacetic acid']"
1470,1471,C10H22,9.427,142.1724,,FBF,87.19,FBF,med,"['decane', '2-methylnonane', '2,2,4-trimethylheptane', '3,6-dimethyloctane', '2,6-dimethyloctane']"
7888,7892,C23H36O7S,8.933,456.2211,,FBF,87.08,FBF,med,"['[(1R,2S,3R,4R,6S,7S,8S,14R)-4-ethenyl-3-hydroxy-2,4,7,14-tetramethyl-9-oxo-6-tricyclo[5.4.3.01,8]tetradecanyl] 2-methylsulfonyloxyacetate', '9-(4-sulfophenyl)heptadecanedioic acid', '[(1S,2R,3S,4S,6R,7R,8R,14R)-4-ethenyl-3-hydroxy-2,4,7,14-tetramethyl-9-oxo-6-tricyclo[5.4.3.01,8]tetradecanyl] 2-methylsulfonyloxyacetate', '[(2R,3S,4S,6R,8R,14R)-4-ethenyl-3-hydroxy-2,4,7,14-tetramethyl-9-oxo-6-tricyclo[5.4.3.01,8]tetradecanyl] 2-methylsulfonyloxyacetate', '[(1R,2S,3R,4R,6S,7S,8S,14S)-4-ethenyl-3-hydroxy-2,4,7,14-tetramethyl-9-oxo-6-tricyclo[5.4.3.01,8]tetradecanyl] 2-methylsulfonyloxyacetate']"
7806,7810,C18H22O9S,6.776,414.0988,,FBF,86.94,FBF,med,"['[3,5-diacetyloxy-6-(2-formylthiophen-3-yl)oxy-4-methyloxan-2-yl]methyl acetate', '[3,4-diacetyloxy-6-(2-ethenylthiophen-3-yl)oxy-5-hydroxyoxan-2-yl]methyl acetate', '[3,4-diacetyloxy-6-(2-acetylthiophen-3-yl)oxyoxan-2-yl]methyl acetate', '4-[2-[[2-(2-hydroxypropan-2-yl)-7-oxo-6-oxabicyclo[3.2.1]octan-4-yl]oxy]acetyl]oxybenzenesulfonic acid', '3-(oxolan-2-ylmethoxycarbonyl)-5-(oxolan-2-ylmethoxysulfonyl)benzoic acid']"
3436,3439,C24H41O10P,3.501,520.2425,,FBF,94.34,FBF,tiny,"['[1-[(2-acetyloxy-3-hydroxypropoxy)-hydroxyphosphoryl]oxy-3-hydroxypropan-2-yl] (7Z,10Z,13Z)-hexadeca-7,10,13-trienoate', '[1-acetyloxy-3-[2,3-dihydroxypropoxy(hydroxy)phosphoryl]oxypropan-2-yl] (7Z,10Z,13Z)-hexadeca-7,10,13-trienoate', '[(2S)-2-[(2R)-3,5-dioxo-4-phosphonooxyoxolan-2-yl]-2-hydroxyethyl] octadec-9-enoate', '[(2S)-2-hydroxy-2-[(2R)-3-hydroxy-5-oxo-4-phosphonooxy-2H-furan-2-yl]ethyl] (Z)-octadec-9-enoate']"
1370,1373,C18H36O6,8.57,348.2511,,FBF,93.94,FBF,tiny,"['(3R,4S,5S,6R)-2-dodecoxy-6-(hydroxymethyl)oxane-3,4,5-triol', '[3-(2,3-dihydroxypropoxy)-2-hydroxypropyl] dodecanoate', '2-dodecoxy-6-(hydroxymethyl)oxane-3,4,5-triol', '(2R,3R,4S,5S,6R)-2-dodecoxy-6-(hydroxymethyl)oxane-3,4,5-triol', '9,10,12,13-tetrahydroxyoctadecanoic acid']"
2876,2879,C35H53NO7,4.619,599.3822,,FBF,93.92,FBF,tiny,"['[(2R,3S)-3-acetyloxy-6-[[(3S,8S,9S,10R,13S,14S,17S)-17-[(E)-N-butoxy-C-methylcarbonimidoyl]-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-yl]oxy]-3,6-dihydro-2H-pyran-2-yl]methyl acetate', '[(2R,3S)-3-acetyloxy-6-[[(3S,8S,9S,10R,13S,14S,17S)-10,13-dimethyl-17-[(E)-C-methyl-N-(2-methylpropoxy)carbonimidoyl]-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-yl]oxy]-3,6-dihydro-2H-pyran-2-yl]methyl acetate', '[(1S,2S,4S,7S,8R,9S,12S,13R,16S)-6-[1-acetyloxy-4-(diacetylamino)-3-methylbutyl]-7,9,13-trimethyl-5-oxapentacyclo[10.8.0.02,9.04,8.013,18]icos-18-en-16-yl] acetate', '(3S)-4-[[(3S,4aR,6aR,6bS,8aS,11S,12aR,14aR,14bS)-11-methoxycarbonyl-4,4,6a,6b,8a,11,14b-heptamethyl-14-oxo-2,3,4a,5,6,7,8,9,10,12,12a,14a-dodecahydro-1H-picen-3-yl]oxy]-3-amino-4-oxobutanoic acid', '2-[N-(carboxymethyl)-3-(3-phenoxypentoxy)-5-tetradecoxyanilino]acetic acid']"
6954,6961,C28H46O13,4.489,590.293,,FBF,93.61,FBF,tiny,"['[3-propanoyloxy-2-[[3-propanoyloxy-2,2-bis(propanoyloxymethyl)propoxy]methyl]-2-(propanoyloxymethyl)propyl] propanoate', '1,3-bis(ethenoxymethoxy)-2-[[3-(ethenoxymethoxy)-2,2-bis(ethenoxymethoxymethyl)propoxy]methyl]-2-(ethenoxymethoxymethyl)propane', '(2R)-2-[(1S)-1,2-dihydroxyethyl]-3,4-dihydroxy-2H-furan-5-one;[(2S)-2-[(2R)-3,4-dihydroxy-5-oxo-2H-furan-2-yl]-2-hydroxyethyl] hexadecanoate', '(2R)-2-[(1S)-1,2-dihydroxyethyl]-3,4-dihydroxy-2H-furan-5-one;[(2R)-2-[(1S)-1,2-dihydroxyethyl]-4-hydroxy-5-oxo-2H-furan-3-yl] hexadecanoate', 'benzene-1,3-dicarboxylic acid;2,2-bis(hydroxymethyl)-6,6,8-trimethylnonane-1,5,7-triol;hexanedioic acid']"
4915,4918,C19H32NO11P,3.293,481.1717,,FBF,93.59,FBF,tiny,"['[(3S,6S)-5-acetamido-3,4-diacetyloxy-6-(diethoxyphosphorylmethyl)oxan-2-yl]methyl acetate', '[(1R)-1-[(2S)-3-(3,4-dihydroxyphenyl)-2-(2-hydroxyethylamino)-2-methylpropanoyl]oxyethyl] 2,2-dimethylpropanoate;phosphoric acid', 'methyl 5-[(4R)-2-[(1-acetyloxy-2-methylpropan-2-yl)carbamoyloxymethoxy]-5,5-dimethyl-2-oxo-1,3,2lambda5-dioxaphosphinan-4-yl]-5-oxopentanoate', '[(2R,3S,4R,5S,6R)-5-acetamido-3,4-diacetyloxy-6-(3-dimethoxyphosphorylpropyl)oxan-2-yl]methyl acetate']"
4435,4438,C32H53O12P,16.03,660.3244,,FBF,93.57,FBF,tiny,"['5-(carboxyoxymethoxy)-5-oxo-2-(phosphonomethyl)pentanoic acid;(4R)-4-(10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid', '4-O-[2-[ethoxy-[2-(4-propanoylbenzoyl)oxyethoxy]phosphoryl]oxyethyl] 1-O-(2-methoxyethyl) benzene-1,4-dicarboxylate;methane']"
4630,4633,C32H57O14P,4.307,696.3492,,FBF,90.53,FBF,tiny,"['[(2R)-3-[hydroxy-[(5R)-2,3,4,5,6-pentahydroxycyclohexyl]oxyphosphoryl]oxy-2-(5-oxopentanoyloxy)propyl] (Z)-octadec-9-enoate']"
1559,1562,C55H106O10,17.225,926.7721,,FBF,89.31,FBF,tiny,"['[1-icosanoyloxy-3-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxypropan-2-yl] hexacosanoate', '[1-henicosanoyloxy-3-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxypropan-2-yl] pentacosanoate', '[1-docosanoyloxy-3-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxypropan-2-yl] tetracosanoate', '[2-tricosanoyloxy-3-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxypropyl] tricosanoate', '[1-nonadecanoyloxy-3-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxypropan-2-yl] heptacosanoate']"
5325,5328,C16H22N6O4,11.429,362.169,,FBF,89.26,FBF,tiny,"['(2S)-N-[(2S)-1-[(2S)-2-carbamoylpyrrolidin-1-yl]-3-(1H-imidazol-5-yl)-1-oxopropan-2-yl]-5-oxopyrrolidine-2-carboxamide', 'N-[1-(2-carbamoylpyrrolidin-1-yl)-3-(1H-imidazol-5-yl)-1-oxopropan-2-yl]-5-oxopyrrolidine-2-carboxamide', '2-N-butan-2-yl-4-N-(2,5-dimethoxyphenyl)-5-nitropyrimidine-2,4,6-triamine', '(2S)-N-[(2S)-1-[(2R)-2-carbamoylpyrrolidin-1-yl]-3-(1H-imidazol-5-yl)-1-oxopropan-2-yl]-5-oxopyrrolidine-2-carboxamide', '(2S,3S,4R,5R)-5-(6-aminopurin-9-yl)-N-cyclohexyl-3,4-dihydroxyoxolane-2-carboxamide']"
7348,7355,C26H36O5S,3.397,460.2295,,FBF,88.29,FBF,tiny,"[""[(8R,9S,13S,14S,17R)-5',5',13-trimethyl-6'-oxospiro[7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthrene-17,2'-oxane]-3-yl] ethanesulfonate"", '[2-[(8S,9S,10R,13S,14S,17S)-10,13-dimethyl-3-oxo-7-propanoylsulfanyl-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-17-yl]-2-oxoethyl] acetate', '(6E,10E)-9-hydroxy-6-[(3-hydroxyphenyl)sulfonylmethyl]-2,11,15-trimethylhexadeca-2,6,10,14-tetraen-8-one', '[4-[3-[4-(3,3-dimethyl-2-oxobutoxy)-3-ethylphenyl]pentan-3-yl]phenyl] methanesulfonate', '[4-[3-[4-(3,3-dimethyl-2-oxobutoxy)phenyl]pentan-3-yl]-2,6-dimethylphenyl] methanesulfonate']"
5438,5441,C22H33N7O4,7.92,459.2618,,FBF,87.42,FBF,tiny,"['(2S)-2-(ethylcarbamoylamino)-5-oxo-5-[4-[3-(1,4,5,6-tetrahydropyrimidin-2-ylamino)phenyl]piperazin-1-yl]pentanoic acid', '2-[[(2R)-1-[(5S)-5-[(6-carbamimidoyl-3-pyridinyl)methylcarbamoyl]pyrazolidin-1-yl]-3-cyclohexyl-1-oxopropan-2-yl]amino]acetic acid', '2-[[(2R)-1-[(2S)-2-[(5-carbamimidoyl-1-methylpyrazol-3-yl)methylcarbamoyl]-2,5-dihydropyrrol-1-yl]-3-cyclohexyl-1-oxopropan-2-yl]amino]acetic acid', '2-[2-[[1-[(4-methoxycyclohexyl)methyl]-5-[(4-methoxyphenyl)methyl]-4,6-dioxo-1,3,5-triazin-2-yl]amino]ethyl]guanidine', '(2S)-2-[[(2S)-2-[[(2S)-2-amino-3-(1H-indol-3-yl)propanoyl]amino]-3-methylbutanoyl]amino]-5-(diaminomethylideneamino)pentanoic acid']"
1492,1495,C51H94O15,18.472,946.659,,FBF,86.44,FBF,tiny,"['[(2S)-2-hexadecanoyloxy-3-[(2R,3R,4S,5R,6R)-3,4,5-trihydroxy-6-[[(2S,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-2-yl]oxypropyl] (E)-icos-11-enoate', '[2-[(Z)-octadec-9-enoyl]oxy-3-[3,4,5-trihydroxy-6-[[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-2-yl]oxypropyl] octadecanoate', '[1-decanoyloxy-3-[3,4,5-trihydroxy-6-[[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-2-yl]oxypropan-2-yl] (Z)-hexacos-15-enoate', '[1-hexadecanoyloxy-3-[3,4,5-trihydroxy-6-[[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-2-yl]oxypropan-2-yl] (Z)-icos-11-enoate', '[1-tetradecanoyloxy-3-[3,4,5-trihydroxy-6-[[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-2-yl]oxypropan-2-yl] (Z)-docos-13-enoate']"
7441,7448,C23H31NO7S,3.397,465.1839,,FBF,86.05,FBF,tiny,"['(Z)-7-[(1R,2R,3R)-3-hydroxy-2-[(E,3R)-3-hydroxy-4-phenoxybut-1-enyl]-5-oxocyclopentyl]-N-methylsulfonylhept-5-enamide', '(1,1-dimethylpiperidin-1-ium-2-yl)methyl 2-hydroxy-2,2-diphenylacetate;methyl sulfate', 'methyl (2S)-2-[[(E)-6-(4-hydroxy-6-methoxy-7-methyl-3-oxo-1H-2-benzofuran-5-yl)-4-methylhex-4-enoyl]amino]-4-methylsulfanylbutanoate', '(2,4,6-trimethoxyphenyl) 2-[[2,6-di(propan-2-yl)phenyl]sulfamoyl]acetate', '(Z)-7-[(1R,2R,3R)-3-hydroxy-2-[(E,3S)-3-hydroxy-4-phenoxybut-1-enyl]-5-oxocyclopentyl]-N-methylsulfonylhept-5-enamide']"
490,493,C6H10O4S,13.301,178.0292,,FBF,85.46,FBF,tiny,"['3-(2-carboxyethylsulfanyl)propanoic acid', '2-(1,1-dioxothiolan-3-yl)acetic acid', '2-(sulfanylmethyl)pentanedioic acid', '2-[(2S)-2-methyl-3-sulfanylpropanoyl]oxyacetic acid', '2-(1-carboxyethylsulfanyl)propanoic acid']"
7274,7281,C22H38O4S,4.099,398.2496,,FBF,85.33,FBF,tiny,"['[(4E)-2-(hydroxymethyl)-4-[5-methyl-3-(2-methylpropyl)hexylidene]-5-sulfanylideneoxolan-2-yl]methyl 2,2-dimethylpropanoate', 'O-[[(4E)-2-(hydroxymethyl)-4-[5-methyl-3-(2-methylpropyl)hexylidene]-5-oxooxolan-2-yl]methyl] 2,2-dimethylpropanethioate', '2-[5-[(1R)-2-[(E,3R)-3-hydroxy-4,4-dimethyloct-1-enyl]-5-oxocyclopentyl]pentylsulfanyl]acetic acid', '4-methoxy-2-pentadecylbenzenesulfonic acid', 'octyl 1-phenyloctyl sulfate']"
970,973,C22H41NO4S,4.099,415.2761,,FBF,85.33,FBF,tiny,"['2-amino-2-methylpropan-1-ol;2-dodecylbenzenesulfonic acid', '2-(dimethylamino)ethanol;2-dodecylbenzenesulfonic acid', 'methyl 2-acetamido-3-hexadecanoylsulfanylpropanoate', '(6Z)-6-(2-oxo-4-tridecyloxetan-3-ylidene)hexane-1-sulfonamide', 'ethyl (2R)-2-(dodecanoylamino)-4-ethylsulfanyl-3,3-dimethyl-4-oxobutanoate']"
2469,2472,C59H87NO8,13.405,937.6428,,FBF,85.18,FBF,tiny,"['tert-butyl (4Z)-6-[3-(2,2-dimethylpropyl)cyclobutyl]-4-methoxyimino-3-(3-phenylmethoxypropyl)hex-5-ynoate;tert-butyl 6-[3-(2,2-dimethylpropyl)cyclobutyl]-4-oxo-3-(3-phenylmethoxypropyl)hex-5-ynoate']"
2187,2190,C26H48O9,4.515,504.3295,,FBF,85.06,FBF,tiny,"['3-[3-[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxydecanoyloxy]decanoic acid', '(6S)-6-[(2R,3R,4S,5S,6R)-6-(acetyloxymethyl)-3,4,5-trihydroxyoxan-2-yl]oxyoctadecanoic acid', '5-hydroxy-2-(1-hydroxyoctyl)-3-oxo-12-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]dodecanoic acid', '5-hydroxy-2-(1-hydroxyoctyl)-3-oxo-12-[(3S,4S,5S,6R)-3,4,5-trihydroxy-6-methyloxan-2-yl]dodecanoic acid', '3-[3-(3,4,5-trihydroxy-6-methyloxan-2-yl)oxydecanoyloxy]decanoic acid']"
3994,3997,C41H62NO8P,5.737,727.4242,,FBF,84.65,FBF,tiny,"['[3-[2-aminoethoxy(hydroxy)phosphoryl]oxy-2-[(3Z,6Z,9Z,12Z,15Z)-octadeca-3,6,9,12,15-pentaenoyl]oxypropyl] (3Z,6Z,9Z,12Z,15Z)-octadeca-3,6,9,12,15-pentaenoate', '[3-[2-aminoethoxy(hydroxy)phosphoryl]oxy-2-[(5E,7E,9E,11E,13E)-hexadeca-5,7,9,11,13-pentaenoyl]oxypropyl] (5E,8E,11E,14E,17E)-icosa-5,8,11,14,17-pentaenoate', '[3-[2-aminoethoxy(hydroxy)phosphoryl]oxy-2-[(7E,9E,11E,13E)-hexadeca-7,9,11,13-tetraenoyl]oxypropyl] (7E,9E,11E,13E,15E,17E)-icosa-7,9,11,13,15,17-hexaenoate']"
59,60,C8H17NO,5.763,143.1305,,FBF,84.53,FBF,tiny,"['2-propylpentanamide', '2-ethyl-3-methylpentanamide', 'octanamide', 'N-heptylformamide', '2-ethylhexanamide']"
